"","log2FoldChange","padj","Factor"
"ko:K00024",-0.891119896829346,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.669782476963369,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.229915681509382,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00134",1.51814632007473,0.703493483144691,"Menthol_Menthol_vs_Control"
"ko:K00140",0.149702177270629,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00207",0.341928548774245,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.147339868832403,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00249",0.253169702664167,0.950385176844065,"Menthol_Menthol_vs_Control"
"ko:K00262",0.0498800797496064,0.976701939457078,"Menthol_Menthol_vs_Control"
"ko:K00331",0.730411213017603,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.908329497610757,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K00338",0.449516763696423,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00357",0.503058378315982,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00411",0.102086976665033,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00413",0.579831720483151,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.581092023887646,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00469",0.158267417781987,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00500",0.185896238372438,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.737165700513652,0.35161126430905,"Menthol_Menthol_vs_Control"
"ko:K00544",-0.840423272998399,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.58813748847308,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00643",0.28881090679911,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.730330319804088,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.358072910753139,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00819",0.714481194849274,0.253232517781441,"Menthol_Menthol_vs_Control"
"ko:K00856",-0.142892329826963,0.946013003150623,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.104660500839306,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.229657134644203,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K00940",0.114313604732452,0.948727339126207,"Menthol_Menthol_vs_Control"
"ko:K00967",0.349171138395808,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K01070",-1.36146988135418,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01206",0.00639167942793671,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K01251",1.29771740576743,0.147168523539049,"Menthol_Menthol_vs_Control"
"ko:K01363",0.268685972365424,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0452481095268045,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01379",0.265777631489043,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.0229134129364181,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K01596",0.760690022538976,0.0955224279714516,"Menthol_Menthol_vs_Control"
"ko:K01623",-1.03623305526118,0.187212243545586,"Menthol_Menthol_vs_Control"
"ko:K01681",-0.211976880606749,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01689",0.845842232675784,0.331414051050441,"Menthol_Menthol_vs_Control"
"ko:K01697",0.191201157265496,0.948727339126207,"Menthol_Menthol_vs_Control"
"ko:K01758",0.0867167667692897,0.968165347751224,"Menthol_Menthol_vs_Control"
"ko:K01875",0.378725800699661,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01881",1.06321146264202,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.231043259668978,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.349658845737087,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.818070095913705,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.51672647095683,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.570077896828569,0.719579248000182,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.179974980211282,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.17344062982444,0.631343133378755,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.112844634465132,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.658847547365894,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02149",-0.207672814605002,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02152",0.00174915850664135,0.998929430430127,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.323066702016894,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02183",0.400204074670628,0.425638262324233,"Menthol_Menthol_vs_Control"
"ko:K02219",0.38600847879169,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02267",-0.933218460931751,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02437",0.130448405348803,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02503",-1.160354971565,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02635",-0.0913700066775179,0.948727339126207,"Menthol_Menthol_vs_Control"
"ko:K02639",-1.59115959416842,0.907727992518349,"Menthol_Menthol_vs_Control"
"ko:K02703",0.684574682785484,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02705",0.734368101087926,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02706",-0.222907780979303,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02725",-1.17108575686055,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02726",0.23456482060757,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02728",-1.08848846050538,0.921033641639177,"Menthol_Menthol_vs_Control"
"ko:K02732",0.193378047734456,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02865",-0.301872849332848,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02866",-0.207700702551131,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02870",0.361707178641778,0.525941591372054,"Menthol_Menthol_vs_Control"
"ko:K02872",-0.820420899286481,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02873",0.433435610673576,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02877",1.0983369695786,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.244723298633598,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.210922081466617,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.62314070388497,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02889",0.0748735461456308,0.958452645885368,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.142794323905683,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.599469213398628,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.159742758851043,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02905",0.0657146001928765,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02908",0.702558342826393,0.858057242179692,"Menthol_Menthol_vs_Control"
"ko:K02910",0.397649148758056,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.0606488893360787,0.968165347751224,"Menthol_Menthol_vs_Control"
"ko:K02918",-0.315260009035176,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.222209463579667,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.449595519229111,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.54700929817726,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02929",-0.70715911418709,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02932",-0.13927383663457,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.434008836068856,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02937",1.01225734504198,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.486780386057346,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.391270581535987,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.339214614718826,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02949",0.360868042057208,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02951",0.613122152149373,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02953",0.632676246401571,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02955",0.112280949653628,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02958",0.223646719565869,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.42450156942157,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02966",0.414001405552497,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.00520413455212,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02973",0.967719126538317,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.748524722345081,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.49498465778236,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02978",-0.597211759729507,0.656983463249113,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.16411393670708,0.484038642894663,"Menthol_Menthol_vs_Control"
"ko:K02983",0.513468423012062,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02984",0.837277616101594,0.700433911608134,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.304761183579519,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02987",1.24885088636748,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.103501372689452,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.263296541736389,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.775304671454506,0.253232517781441,"Menthol_Menthol_vs_Control"
"ko:K02995",-0.0212324266093025,0.993643545559534,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.357055125971783,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03008",0.74900333217343,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03031",0.206300415768763,0.945150915469663,"Menthol_Menthol_vs_Control"
"ko:K03083",0.0508300420932458,0.95330950949549,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.312536135581163,0.945150915469663,"Menthol_Menthol_vs_Control"
