symbol	name	locus_group
A1BG	alpha-1-B glycoprotein	protein-coding gene
A1BG-AS1	A1BG antisense RNA 1	non-coding RNA
A1CF	APOBEC1 complementation factor	protein-coding gene
A2M	alpha-2-macroglobulin	protein-coding gene
A2M-AS1	A2M antisense RNA 1	non-coding RNA
A2ML1	alpha-2-macroglobulin like 1	protein-coding gene
A2ML1-AS1	A2ML1 antisense RNA 1	non-coding RNA
A2ML1-AS2	A2ML1 antisense RNA 2	non-coding RNA
A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene
A3GALT2	alpha 1,3-galactosyltransferase 2	protein-coding gene
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	protein-coding gene
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	protein-coding gene
A12M1	adenovirus-12 chromosome modification site 1C	other
A12M2	adenovirus-12 chromosome modification site 1A	other
A12M3	adenovirus-12 chromosome modification site 1B	other
A12M4	adenovirus-12 chromosome modification site 17	other
AAAS	aladin WD repeat nucleoporin	protein-coding gene
AABT	amino acid transport, beta	other
AACS	acetoacetyl-CoA synthetase	protein-coding gene
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene
AADAC	arylacetamide deacetylase	protein-coding gene
AADACL2	arylacetamide deacetylase like 2	protein-coding gene
AADACL2-AS1	AADACL2 antisense RNA 1	non-coding RNA
AADACL3	arylacetamide deacetylase like 3	protein-coding gene
AADACL4	arylacetamide deacetylase like 4	protein-coding gene
AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene
AADAT	aminoadipate aminotransferase	protein-coding gene
AAGAB	alpha and gamma adaptin binding protein	protein-coding gene
AAK1	AP2 associated kinase 1	protein-coding gene
AAMDC	adipogenesis associated Mth938 domain containing	protein-coding gene
AAMP	angio associated migratory cell protein	protein-coding gene
AANAT	aralkylamine N-acetyltransferase	protein-coding gene
AAR2	AAR2 splicing factor	protein-coding gene
AARD	alanine and arginine rich domain containing protein	protein-coding gene
AARS1	alanyl-tRNA synthetase 1	protein-coding gene
AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	pseudogene
AARS2	alanyl-tRNA synthetase 2, mitochondrial	protein-coding gene
AARSD1	alanyl-tRNA synthetase domain containing 1	protein-coding gene
AASDH	aminoadipate-semialdehyde dehydrogenase	protein-coding gene
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein-coding gene
AASS	aminoadipate-semialdehyde synthase	protein-coding gene
AATBC	apoptosis associated transcript in bladder cancer	non-coding RNA
AATF	apoptosis antagonizing transcription factor	protein-coding gene
AATK	apoptosis associated tyrosine kinase	protein-coding gene
AAVS1	adeno-associated virus integration site 1	other
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	non-coding RNA
ABAT	4-aminobutyrate aminotransferase	protein-coding gene
ABCA1	ATP binding cassette subfamily A member 1	protein-coding gene
ABCA2	ATP binding cassette subfamily A member 2	protein-coding gene
ABCA3	ATP binding cassette subfamily A member 3	protein-coding gene
ABCA4	ATP binding cassette subfamily A member 4	protein-coding gene
ABCA5	ATP binding cassette subfamily A member 5	protein-coding gene
ABCA6	ATP binding cassette subfamily A member 6	protein-coding gene
ABCA7	ATP binding cassette subfamily A member 7	protein-coding gene
ABCA8	ATP binding cassette subfamily A member 8	protein-coding gene
ABCA9	ATP binding cassette subfamily A member 9	protein-coding gene
ABCA9-AS1	ABCA9 antisense RNA 1	non-coding RNA
ABCA10	ATP binding cassette subfamily A member 10	protein-coding gene
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	pseudogene
ABCA12	ATP binding cassette subfamily A member 12	protein-coding gene
ABCA13	ATP binding cassette subfamily A member 13	protein-coding gene
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	pseudogene
ABCB1	ATP binding cassette subfamily B member 1	protein-coding gene
ABCB4	ATP binding cassette subfamily B member 4	protein-coding gene
ABCB5	ATP binding cassette subfamily B member 5	protein-coding gene
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	protein-coding gene
ABCB7	ATP binding cassette subfamily B member 7	protein-coding gene
ABCB8	ATP binding cassette subfamily B member 8	protein-coding gene
ABCB9	ATP binding cassette subfamily B member 9	protein-coding gene
ABCB10	ATP binding cassette subfamily B member 10	protein-coding gene
ABCB10P1	ABCB10 pseudogene 1	pseudogene
ABCB10P3	ABCB10 pseudogene 3	pseudogene
ABCB10P4	ABCB10 pseudogene 4	pseudogene
ABCB11	ATP binding cassette subfamily B member 11	protein-coding gene
ABCC1	ATP binding cassette subfamily C member 1	protein-coding gene
ABCC2	ATP binding cassette subfamily C member 2	protein-coding gene
ABCC3	ATP binding cassette subfamily C member 3	protein-coding gene
ABCC4	ATP binding cassette subfamily C member 4	protein-coding gene
ABCC5	ATP binding cassette subfamily C member 5	protein-coding gene
ABCC5-AS1	ABCC5 antisense RNA 1	non-coding RNA
ABCC6	ATP binding cassette subfamily C member 6	protein-coding gene
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	pseudogene
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	pseudogene
ABCC8	ATP binding cassette subfamily C member 8	protein-coding gene
ABCC9	ATP binding cassette subfamily C member 9	protein-coding gene
ABCC10	ATP binding cassette subfamily C member 10	protein-coding gene
ABCC11	ATP binding cassette subfamily C member 11	protein-coding gene
ABCC12	ATP binding cassette subfamily C member 12	protein-coding gene
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	pseudogene
ABCD1	ATP binding cassette subfamily D member 1	protein-coding gene
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	pseudogene
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	pseudogene
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	pseudogene
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	pseudogene
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	pseudogene
ABCD2	ATP binding cassette subfamily D member 2	protein-coding gene
ABCD3	ATP binding cassette subfamily D member 3	protein-coding gene
ABCD4	ATP binding cassette subfamily D member 4	protein-coding gene
ABCE1	ATP binding cassette subfamily E member 1	protein-coding gene
ABCF1	ATP binding cassette subfamily F member 1	protein-coding gene
ABCF1-DT	ABCF1 divergent transcript	non-coding RNA
ABCF2	ATP binding cassette subfamily F member 2	protein-coding gene
ABCF2-H2BE1	ABCF2-H2BE1 readthrough	other
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	pseudogene
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	pseudogene
ABCF3	ATP binding cassette subfamily F member 3	protein-coding gene
ABCG1	ATP binding cassette subfamily G member 1	protein-coding gene
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding gene
ABCG4	ATP binding cassette subfamily G member 4	protein-coding gene
ABCG5	ATP binding cassette subfamily G member 5	protein-coding gene
ABCG8	ATP binding cassette subfamily G member 8	protein-coding gene
ABHD1	abhydrolase domain containing 1	protein-coding gene
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	protein-coding gene
ABHD3	abhydrolase domain containing 3, phospholipase	protein-coding gene
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	protein-coding gene
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	protein-coding gene
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	protein-coding gene
ABHD8	abhydrolase domain containing 8	protein-coding gene
ABHD10	abhydrolase domain containing 10, depalmitoylase	protein-coding gene
ABHD11	abhydrolase domain containing 11	protein-coding gene
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	non-coding RNA
ABHD11-AS2	ABHD11 antisense RNA 2	non-coding RNA
ABHD12	abhydrolase domain containing 12, lysophospholipase	protein-coding gene
ABHD12B	abhydrolase domain containing 12B	protein-coding gene
ABHD13	abhydrolase domain containing 13	protein-coding gene
ABHD14A	abhydrolase domain containing 14A	protein-coding gene
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	other
ABHD14B	abhydrolase domain containing 14B	protein-coding gene
ABHD15	abhydrolase domain containing 15	protein-coding gene
ABHD15-AS1	ABHD15 antisense RNA 1	non-coding RNA
ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding gene
ABHD16B	abhydrolase domain containing 16B	protein-coding gene
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	protein-coding gene
ABHD17AP1	ABHD17A pseudogene 1	pseudogene
ABHD17AP3	ABHD17A pseudogene 3	pseudogene
ABHD17AP4	ABHD17A pseudogene 4	pseudogene
ABHD17AP5	ABHD17A pseudogene 5	pseudogene
ABHD17AP6	ABHD17A pseudogene 6	pseudogene
ABHD17AP7	ABHD17A pseudogene 7	pseudogene
ABHD17AP8	ABHD17A pseudogene 8	pseudogene
ABHD17AP9	ABHD17A pseudogene 9	pseudogene
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	protein-coding gene
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	protein-coding gene
ABHD18	abhydrolase domain containing 18	protein-coding gene
ABI1	abl interactor 1	protein-coding gene
ABI1P1	abl interactor 1 pseudogene 1	pseudogene
ABI2	abl interactor 2	protein-coding gene
ABI3	ABI family member 3	protein-coding gene
ABI3BP	ABI family member 3 binding protein	protein-coding gene
ABITRAM	actin binding transcription modulator	protein-coding gene
ABITRAMP1	ABITRAM pseudogene 1	pseudogene
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding gene
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein-coding gene
ABLIM1	actin binding LIM protein 1	protein-coding gene
ABLIM2	actin binding LIM protein family member 2	protein-coding gene
ABLIM3	actin binding LIM protein family member 3	protein-coding gene
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	protein-coding gene
ABR	ABR activator of RhoGEF and GTPase	protein-coding gene
ABRA	actin binding Rho activating protein	protein-coding gene
ABRACL	ABRA C-terminal like	protein-coding gene
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	protein-coding gene
ABRAXAS2	abraxas 2, BRISC complex subunit	protein-coding gene
ABT1	activator of basal transcription 1	protein-coding gene
ABT1P1	activator of basal transcription 1 pseudogene 1	pseudogene
ABTB1	ankyrin repeat and BTB domain containing 1	protein-coding gene
ABTB2	ankyrin repeat and BTB domain containing 2	protein-coding gene
ACAA1	acetyl-CoA acyltransferase 1	protein-coding gene
ACAA2	acetyl-CoA acyltransferase 2	protein-coding gene
ACACA	acetyl-CoA carboxylase alpha	protein-coding gene
ACACB	acetyl-CoA carboxylase beta	protein-coding gene
ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	other
ACAD8	acyl-CoA dehydrogenase family member 8	protein-coding gene
ACAD9	acyl-CoA dehydrogenase family member 9	protein-coding gene
ACAD10	acyl-CoA dehydrogenase family member 10	protein-coding gene
ACAD11	acyl-CoA dehydrogenase family member 11	protein-coding gene
ACADL	acyl-CoA dehydrogenase long chain	protein-coding gene
ACADM	acyl-CoA dehydrogenase medium chain	protein-coding gene
ACADS	acyl-CoA dehydrogenase short chain	protein-coding gene
ACADSB	acyl-CoA dehydrogenase short/branched chain	protein-coding gene
ACADVL	acyl-CoA dehydrogenase very long chain	protein-coding gene
ACAN	aggrecan	protein-coding gene
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	protein-coding gene
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	protein-coding gene
ACAP2-IT1	ACAP2 intronic transcript 1	non-coding RNA
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	protein-coding gene
ACAT1	acetyl-CoA acetyltransferase 1	protein-coding gene
ACAT2	acetyl-CoA acetyltransferase 2	protein-coding gene
ACBD3	acyl-CoA binding domain containing 3	protein-coding gene
ACBD3-AS1	ACBD3 antisense RNA 1	non-coding RNA
ACBD4	acyl-CoA binding domain containing 4	protein-coding gene
ACBD5	acyl-CoA binding domain containing 5	protein-coding gene
ACBD6	acyl-CoA binding domain containing 6	protein-coding gene
ACBD7	acyl-CoA binding domain containing 7	protein-coding gene
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	protein-coding gene
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	protein-coding gene
ACD	ACD shelterin complex subunit and telomerase recruitment factor	protein-coding gene
ACE	angiotensin I converting enzyme	protein-coding gene
ACE2	angiotensin I converting enzyme 2	protein-coding gene
ACE3P	angiotensin I converting enzyme 3, pseudogene	pseudogene
ACER1	alkaline ceramidase 1	protein-coding gene
ACER2	alkaline ceramidase 2	protein-coding gene
ACER2P1	ACER2 pseudogene 1	pseudogene
ACER3	alkaline ceramidase 3	protein-coding gene
ACHE	acetylcholinesterase (Cartwright blood group)	protein-coding gene
ACIN1	apoptotic chromatin condensation inducer 1	protein-coding gene
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	protein-coding gene
ACKR2	atypical chemokine receptor 2	protein-coding gene
ACKR3	atypical chemokine receptor 3	protein-coding gene
ACKR4	atypical chemokine receptor 4	protein-coding gene
ACKR4P1	ACKR4 pseudogene 1	pseudogene
ACLS	acrocallosal syndrome	phenotype
ACLY	ATP citrate lyase	protein-coding gene
ACMG	acromegaly	other
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	protein-coding gene
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	pseudogene
