Gene Symbol	Description	Category
TPTE	tensin, putative protein-tyrosine phosphatase, EC 3.1.3.48.	1.1
CYC1LP4	cytochrome c pseudogene	5
Pseudo1	putative zinc finger protein pseudogene	5
PRED1	putative gene, protein kinase C ETA type (EC 2.7.1.) like	3.2
ORLP1	pheromone receptor pseudogene	5
Pseudo1.1	pseudogene similar to cDNA DKFZp586E1423	5
Pseudo2	tubulin tyrosine ligase-like 1 pseudogene	5
EIF3S5P	eucaryotic initiation factor-3, subunit 5 pseudogene	5
PRED65	putative gene with similarity to zinc finger proteins	2.2
PRED3	putative gene, proto-oncogene protein precursor like	3.1
PRED4	putative gene with similarities to KIAA1074 and KIAA0565	3.2
ORLP2	pheromone receptor pseudogene	5
CNN2P	calponin P pseudogene	5
C21orf15	spliced EST AJ003450	4.2
CYP4F3LP	cytochrome P450 pseudogene	5
NF1L1P	neurofibromatosis type 1 pseudogene	5
PRED5	putative gene, lipase (EC 3.1.1.3) like	3.1
RBM11	putative gene, RNA binding motif protein 11 like	3.1
PRED6	putative gene, multidrug resistance associated protein like	3.1
STCH	human microsomal stress 70 protein ATPase core	1.1
SAMSN-1	gene with homology to KIAA0790 protein	1.2
POLR2CP	pseudogene similar to RNA polymerase H subunits	5
NRIP1	nuclear factor RIP140	1.1
CYC1LP5	cytochrome C pseudogene	5
RAD23BLP	UV excision repair protein pseudogene	5
USP25	ubiquitin specific protease USP25	1.1
RBPMSLP	RNA-binding protein hermes pseudogene	5
C21orf34	spliced EST AA451643	4.1
VDAC2P	voltage-dependent anion channel isoform 2 pseudogene	5
C21orf35	spliced EST AW242517	4.1
C21orf36	spliced EST AA017197	4.2
C21orf37	spliced EST N47348	4.2
CXADR	46 kD coxsackievirus and adenovirus receptor (CAR) protein	1.1
BTG3	B-cell translocation gene	1.1
YG81	gene of unknown function, spliced variant EST AI126619	1.1
C21orf39	spliced EST T74237	4.2
RL37P	human ribosomal protein L37 pseudogene	5
PRED12	putative gene, membrane protein like	3.1
PRSS7	human enterokinase; EC 3.4.21.9.	1.1
SLC6A6P	taurine transporter processed pseudogene	5
RL37P2	human ribosomal protein L37 pseudogene	5
C1QBPP	human splicing factor 2 hyaluronic acid-binding protein (SF2p32) pseudogene	5
C21orf40	spliced EST AA412132	4.2
FDPSP	farnesyl pyrophosphate synthetase processed pseudogene	5
KRT18P2	cytokeratin 18 processed pseudogene	5
RPS3AP	ribosomal protein S3 processed pseudogene	5
PRED14	human cDNA clone 280692	1.2
PPIAP	cyclophilin-related processed pseudogene	5
NCAM2	neural cell adhesion molecule 2 precursor	1.1
PRED15	exon prediction only	4.3
PRED16	spliced EST AI188136	4.1
